order_id,order_date,quarter,region,sales_rep,product_category,product_name,customer_type,deal_size,quantity,unit_price,discount_pct,deal_value,deal_status,sale_unit_price,revenue,unit_cost,cost,gross_profit,discount_band
ORD-106472,2024-01-02,2024-Q1,Central,Bianca Ruiz,Roofing,Ridge Vent 4ft,Government/Municipal,Medium,93,76.82,0.0795,7144.26,Won,70.71,6576.03,53.77,5000.61,1575.42,5-10%
ORD-101853,2024-01-02,2024-Q1,South,Wade Hutchins,Insulation,Rigid Foam R-10 4x8,DIY/Individual,Medium,333,26.87,0.1475,8947.71,Won,22.91,7629.03,20.42,6799.86,829.17,10-15%
ORD-104862,2024-01-02,2024-Q1,West,Cole Sanderson,Drywall,"Cement Board 1/2""",Retailer,Medium,931,14.02,0.0492,13052.62,Lost,13.33,0.0,11.5,0.0,0.0,0-5%
ORD-101784,2024-01-02,2024-Q1,South,Ronnie Prewitt,Insulation,Blown-In Cellulose,DIY/Individual,Medium,292,28.3,0.1912,8263.6,Lost,22.89,0.0,21.51,0.0,0.0,15-20%
ORD-103209,2024-01-02,2024-Q1,East,Rachel Lindqvist,Windows & Doors,Sliding Patio Door,General Contractor,Large,211,273.25,0.0638,57655.75,Won,255.83,53980.13,180.34,38051.74,15928.39,5-10%
ORD-101827,2024-01-02,2024-Q1,South,Kayla Mendez,Drywall,"Drywall 1/2"" 4x8",Retailer,Medium,501,13.09,0.1052,6558.09,Won,11.71,5866.71,10.73,5375.73,490.98,10-15%
ORD-101791,2024-01-02,2024-Q1,South,Kayla Mendez,Drywall,Joint Compound 4.5gal,Retailer,Medium,600,14.34,0.0942,8604.0,Lost,12.99,0.0,11.76,0.0,0.0,5-10%
ORD-100013,2024-01-02,2024-Q1,North,Grant Holloway,Concrete & Masonry,Concrete Block 8x8x16,Government/Municipal,Medium,824,24.82,0.0478,20451.68,Won,23.63,19471.12,19.36,15952.64,3518.48,0-5%
ORD-103081,2024-01-03,2024-Q1,East,Devon Park,Insulation,Rigid Foam R-10 4x8,DIY/Individual,Medium,359,27.94,0.0673,10030.46,Lost,26.06,0.0,21.23,0.0,0.0,5-10%
ORD-100157,2024-01-03,2024-Q1,North,Tom Becker,Flooring,Porcelain Tile 24x24,Homebuilder,Medium,190,49.47,0.0889,9399.3,Won,45.07,8563.3,33.64,6391.6,2171.7,5-10%
ORD-106324,2024-01-03,2024-Q1,Central,Bianca Ruiz,Flooring,Engineered Hardwood Oak,General Contractor,Small,109,45.51,0.036,4960.59,Won,43.87,4781.83,30.95,3373.55,1408.28,0-5%
ORD-106319,2024-01-03,2024-Q1,Central,Leo Castellano,Lumber,2x6 Pressure-Treated 12ft,Retailer,Medium,995,6.33,0.0972,6298.35,Lost,5.71,0.0,5.44,0.0,0.0,5-10%
ORD-101828,2024-01-03,2024-Q1,South,Wade Hutchins,Insulation,Spray Foam Kit 600bf,Retailer,Medium,402,27.24,0.123,10950.48,Lost,23.89,0.0,20.7,0.0,0.0,10-15%
ORD-104784,2024-01-03,2024-Q1,West,Brett Okafor,Windows & Doors,Vinyl Double-Hung Window,Homebuilder,Large,167,326.87,0.0716,54587.29,Won,303.47,50679.49,215.73,36026.91,14652.58,5-10%
ORD-106414,2024-01-03,2024-Q1,Central,Leo Castellano,Hardware & Fasteners,"Anchor Bolts 5/8""",Homebuilder,Medium,1871,3.21,0.0547,6005.91,Won,3.03,5669.13,2.7,5051.7,617.43,5-10%
ORD-103169,2024-01-03,2024-Q1,East,Devon Park,Flooring,Laminate 12mm,Homebuilder,Large,641,47.07,0.0883,30171.87,Won,42.91,27505.31,32.01,20518.41,6986.9,5-10%
ORD-100102,2024-01-03,2024-Q1,North,Tom Becker,Flooring,Engineered Hardwood Oak,General Contractor,Medium,508,44.65,0.0888,22682.2,Won,40.68,20665.44,30.36,15422.88,5242.56,5-10%
ORD-101802,2024-01-03,2024-Q1,South,Kayla Mendez,Hardware & Fasteners,"Structural Screws 6""",Retailer,Small,793,2.95,0.076,2339.35,Won,2.73,2164.89,2.48,1966.64,198.25,5-10%
ORD-103099,2024-01-03,2024-Q1,East,Devon Park,Drywall,"Cement Board 1/2""",DIY/Individual,Small,80,14.78,0.0535,1182.4,Lost,13.99,0.0,12.12,0.0,0.0,5-10%
ORD-103095,2024-01-03,2024-Q1,East,Devon Park,Flooring,Porcelain Tile 24x24,Government/Municipal,Medium,364,46.87,0.0613,17060.68,Won,44.0,16016.0,31.87,11600.68,4415.32,5-10%
ORD-106441,2024-01-04,2024-Q1,Central,Leo Castellano,Windows & Doors,Fiberglass Entry Door,Government/Municipal,Large,80,355.23,0.0247,28418.4,Won,346.44,27715.2,234.45,18756.0,8959.2,0-5%
ORD-106339,2024-01-04,2024-Q1,Central,Bianca Ruiz,Windows & Doors,Commercial Storefront Unit,General Contractor,Large,114,280.78,0.1071,32008.92,Won,250.7,28579.8,185.31,21125.34,7454.46,10-15%
ORD-104826,2024-01-04,2024-Q1,West,Maya Iyer,Drywall,Drywall Tape 500ft,General Contractor,Small,292,15.27,0.0514,4458.84,Lost,14.49,0.0,12.52,0.0,0.0,5-10%
ORD-104839,2024-01-04,2024-Q1,West,Cole Sanderson,Roofing,Underlayment Synthetic,General Contractor,Medium,241,103.13,0.1236,24854.33,Won,90.38,21781.58,72.19,17397.79,4383.79,10-15%
ORD-101826,2024-01-04,2024-Q1,South,Ronnie Prewitt,Flooring,Engineered Hardwood Oak,General Contractor,Large,610,50.14,0.0661,30585.4,Lost,46.83,0.0,34.1,0.0,0.0,5-10%
ORD-104760,2024-01-04,2024-Q1,West,Sam Kowalski,Roofing,Ridge Vent 4ft,Retailer,Large,334,86.78,0.06,28984.52,Lost,81.57,0.0,60.75,0.0,0.0,5-10%
ORD-101715,2024-01-04,2024-Q1,South,Ronnie Prewitt,Lumber,2x4 SPF Stud 8ft,General Contractor,Medium,1864,6.23,0.0162,11612.72,Won,6.13,11426.32,5.36,9991.04,1435.28,0-5%
ORD-103138,2024-01-04,2024-Q1,East,Nina Abrams,Hardware & Fasteners,"Deck Screws #9 x 2.5""",DIY/Individual,Small,176,3.06,0.0699,538.56,Lost,2.85,0.0,2.57,0.0,0.0,5-10%
ORD-100129,2024-01-04,2024-Q1,North,Tom Becker,Lumber,2x6 Pressure-Treated 12ft,DIY/Individual,Small,278,5.39,0.0571,1498.42,Lost,5.08,0.0,4.64,0.0,0.0,5-10%
ORD-103129,2024-01-04,2024-Q1,East,Andre Coleman,Windows & Doors,Commercial Storefront Unit,Homebuilder,Large,278,323.14,0.0258,89832.92,Won,314.81,87517.18,213.27,59289.06,28228.12,0-5%
ORD-101725,2024-01-04,2024-Q1,South,Kayla Mendez,Drywall,Drywall Tape 500ft,General Contractor,Medium,403,13.1,0.164,5279.3,Lost,10.95,0.0,10.74,0.0,0.0,15-20%
ORD-104792,2024-01-04,2024-Q1,West,Brett Okafor,Windows & Doors,Impact-Rated Window,Homebuilder,Large,218,324.67,0.0566,70778.06,Won,306.3,66773.4,214.28,46713.04,20060.36,5-10%
ORD-101757,2024-01-05,2024-Q1,South,Wade Hutchins,Hardware & Fasteners,Joist Hangers 2x8,Retailer,Small,918,2.59,0.0995,2377.62,Won,2.33,2138.94,2.18,2001.24,137.7,5-10%
ORD-106431,2024-01-05,2024-Q1,Central,DerekSullivan,Hardware & Fasteners,Joist Hangers 2x8,Retailer,Small,986,2.98,0.0811,2938.28,Won,2.74,2701.64,2.5,2465.0,236.64,5-10%
ORD-106390,2024-01-05,2024-Q1,Central,Bianca Ruiz,Insulation,Spray Foam Kit 600bf,Retailer,Medium,579,29.57,0.0404,17121.03,Won,28.37,16426.23,22.47,13010.13,3416.1,0-5%
ORD-100137,2024-01-05,2024-Q1,North,Tom Becker,Hardware & Fasteners,Joist Hangers 2x8,Retailer,Small,335,2.76,0.0517,924.6,Won,2.62,877.7,2.32,777.2,100.5,5-10%
ORD-103135,2024-01-05,2024-Q1,East,Sofia Marchetti,Roofing,TPO Membrane 60mil,Homebuilder,Large,349,103.04,0.0784,35960.96,Lost,94.96,0.0,72.13,0.0,0.0,5-10%
ORD-104794,2024-01-05,2024-Q1,West,Ava Thornton,Lumber,"Plywood CDX 3/4""",DIY/Individual,Small,657,6.49,0.0559,4263.93,Won,6.13,4027.41,5.58,3666.06,361.35,5-10%
ORD-103184,2024-01-05,2024-Q1,East,Rachel Lindqvist,Hardware & Fasteners,"Anchor Bolts 5/8""",Homebuilder,Small,683,3.23,0.0495,2206.09,Won,3.07,2096.81,2.71,1850.93,245.88,0-5%
ORD-100124,2024-01-06,2024-Q1,North,Elena Vasquez,Lumber,"OSB Sheathing 7/16""",Homebuilder,Small,290,6.35,0.0569,1841.5,Won,5.99,1737.1,5.46,1583.4,153.7,5-10%
ORD-101865,2024-01-06,2024-Q1,South,Travis Buford,Roofing,Architectural Shingles (sq),General Contractor,Medium,110,90.13,0.1128,9914.3,Won,79.97,8796.7,63.09,6939.9,1856.8,10-15%
ORD-101730,2024-01-06,2024-Q1,South,Travis Buford,Hardware & Fasteners,Joist Hangers 2x8,DIY/Individual,Small,147,2.87,0.0707,421.89,Lost,2.67,0.0,2.41,0.0,0.0,5-10%
ORD-104772,2024-01-06,2024-Q1,West,Ava Thornton,Concrete & Masonry,Portland Cement 94lb,Government/Municipal,Medium,640,21.99,0.1053,14073.6,Won,19.67,12588.8,17.15,10976.0,1612.8,10-15%
ORD-104824,2024-01-06,2024-Q1,West,Cole Sanderson,Roofing,TPO Membrane 60mil,Government/Municipal,Medium,113,96.04,0.0673,10852.52,Won,89.58,10122.54,67.23,7596.99,2525.55,5-10%
ORD-101754,2024-01-06,2024-Q1,South,Kayla Mendez,Roofing,Ridge Vent 4ft,Government/Municipal,Large,922,89.07,0.119,82122.54,Won,78.47,72349.34,62.35,57486.7,14862.64,10-15%
ORD-103188,2024-01-06,2024-Q1,East,Devon Park,Insulation,Mineral Wool R-23,Retailer,Medium,564,24.46,0.0157,13795.44,Won,24.08,13581.12,18.59,10484.76,3096.36,0-5%
ORD-103061,2024-01-07,2024-Q1,East,Nina Abrams,Concrete & Masonry,Brick Modular (pallet),General Contractor,Medium,542,20.49,0.0948,11105.58,Won,18.55,10054.1,15.98,8661.16,1392.94,5-10%
ORD-103192,2024-01-07,2024-Q1,East,Devon Park,Flooring,Carpet Tile Commercial,Homebuilder,Large,1034,51.86,0.0279,53623.24,Won,50.41,52123.94,35.26,36458.84,15665.1,0-5%
ORD-106354,2024-01-07,2024-Q1,Central,Hannah Voss,Insulation,Blown-In Cellulose,Homebuilder,Medium,945,25.31,0.1003,23917.95,Lost,22.77,0.0,19.24,0.0,0.0,10-15%
ORD-101799,2024-01-07,2024-Q1,South,Miguel Santos,Insulation,Mineral Wool R-23,Retailer,Medium,615,26.45,0.1068,16266.75,Lost,23.63,0.0,20.1,0.0,0.0,10-15%
ORD-100071,2024-01-07,2024-Q1,North,Priya Nadella,Drywall,Drywall Tape 500ft,Retailer,Medium,805,12.25,0.0461,9861.25,Lost,11.69,0.0,10.04,0.0,0.0,0-5%
ORD-100140,2024-01-07,2024-Q1,North,Marcus Preston,Drywall,Joint Compound 4.5gal,DIY/Individual,Small,319,14.82,0.0662,4727.58,Won,13.84,4414.96,12.15,3875.85,539.11,5-10%
ORD-100069,2024-01-08,2024-Q1,North,Marcus Preston,Drywall,"Moisture-Resist 5/8"" 4x12",General Contractor,Medium,1039,11.95,0.0449,12416.05,Lost,11.41,0.0,9.8,0.0,0.0,0-5%
ORD-103116,2024-01-08,2024-Q1,East,Devon Park,Hardware & Fasteners,"Framing Nails 3.5"" (5000ct)",Homebuilder,Small,295,3.05,0.0892,899.75,Won,2.78,820.1,2.56,755.2,64.9,5-10%
ORD-106423,2024-01-08,2024-Q1,Central,DerekSullivan,Flooring,Engineered Hardwood Oak,General Contractor,Medium,396,50.13,0.0521,19851.48,Lost,47.52,0.0,34.09,0.0,0.0,5-10%
ORD-100176,2024-01-08,2024-Q1,North,Tom Becker,Hardware & Fasteners,"Structural Screws 6""",Retailer,Small,1038,2.72,0.0576,2823.36,Won,2.56,2657.28,2.28,2366.64,290.64,5-10%
ORD-104851,2024-01-08,2024-Q1,West,Brett Okafor,Roofing,Architectural Shingles (sq),Government/Municipal,Medium,150,89.32,0.0545,13398.0,Won,84.46,12669.0,62.52,9378.0,3291.0,5-10%
ORD-100027,2024-01-08,2024-Q1,North,Tom Becker,Hardware & Fasteners,Joist Hangers 2x8,Homebuilder,Small,1206,2.88,0.0452,3473.28,Won,2.75,3316.5,2.42,2918.52,397.98,0-5%
ORD-103178,2024-01-08,2024-Q1,East,Nina Abrams,Roofing,Ridge Vent 4ft,Retailer,Large,466,103.19,0.0214,48086.54,Won,100.98,47056.68,72.23,33659.18,13397.5,0-5%
ORD-106338,2024-01-08,2024-Q1,Central,Bianca Ruiz,Drywall,"Drywall 1/2"" 4x8",Homebuilder,Medium,1169,14.34,0.0752,16763.46,Won,13.26,15500.94,11.76,13747.44,1753.5,5-10%
ORD-103022,2024-01-08,2024-Q1,East,Nina Abrams,Hardware & Fasteners,"Deck Screws #9 x 2.5""",Government/Municipal,Small,1584,3.15,0.0607,4989.6,Lost,2.96,0.0,2.65,0.0,0.0,5-10%
ORD-100112,2024-01-09,2024-Q1,North,Marcus Preston,Roofing,TPO Membrane 60mil,General Contractor,Medium,143,89.33,0.0175,12774.19,Won,87.77,12551.11,62.53,8941.79,3609.32,0-5%
ORD-104782,2024-01-09,2024-Q1,West,Maya Iyer,Windows & Doors,Fiberglass Entry Door,Retailer,Large,133,311.23,0.109,41393.59,Won,277.32,36883.56,205.41,27319.53,9564.03,10-15%
ORD-101833,2024-01-09,2024-Q1,South,Miguel Santos,Hardware & Fasteners,"Deck Screws #9 x 2.5""",General Contractor,Small,816,2.53,0.0963,2064.48,Won,2.29,1868.64,2.13,1738.08,130.56,5-10%
ORD-104831,2024-01-09,2024-Q1,West,Julia Reyes,Insulation,Rigid Foam R-10 4x8,General Contractor,Medium,734,28.84,0.1076,21168.56,Won,25.74,18893.16,21.92,16089.28,2803.88,10-15%
ORD-103038,2024-01-09,2024-Q1,East,Devon Park,Flooring,Carpet Tile Commercial,Homebuilder,Large,896,52.73,0.0506,47246.08,Lost,50.06,0.0,35.86,0.0,0.0,5-10%
ORD-103053,2024-01-09,2024-Q1,East,Rachel Lindqvist,Concrete & Masonry,Brick Modular (pallet),General Contractor,Medium,1043,18.41,0.0431,19201.63,Lost,17.62,0.0,14.36,0.0,0.0,0-5%
ORD-103141,2024-01-09,2024-Q1,East,Nina Abrams,Flooring,Engineered Hardwood Oak,General Contractor,Medium,111,50.99,0.0868,5659.89,Lost,46.56,0.0,34.67,0.0,0.0,5-10%
ORD-106442,2024-01-09,2024-Q1,Central,DerekSullivan,Drywall,"Cement Board 1/2""",Homebuilder,Small,174,13.33,0.0,2319.42,Lost,13.33,0.0,10.93,0.0,0.0,0-5%
ORD-103208,2024-01-09,2024-Q1,East,Rachel Lindqvist,Concrete & Masonry,Rebar #4 20ft,Homebuilder,Medium,862,22.15,0.0284,19093.3,Lost,21.52,0.0,17.28,0.0,0.0,0-5%
ORD-104815,2024-01-10,2024-Q1,West,Maya Iyer,Lumber,"OSB Sheathing 7/16""",General Contractor,Medium,1516,6.14,0.0971,9308.24,Won,5.54,8398.64,5.28,8004.48,394.16,5-10%
ORD-100175,2024-01-10,2024-Q1,North,Dana Whitfield,Windows & Doors,Impact-Rated Window,General Contractor,Large,129,322.99,0.0769,41665.71,Lost,298.16,0.0,213.17,0.0,0.0,5-10%
ORD-106393,2024-01-10,2024-Q1,Central,Hannah Voss,Windows & Doors,Fiberglass Entry Door,Homebuilder,Large,287,325.29,0.0344,93358.23,Won,314.1,90146.7,214.69,61616.03,28530.67,0-5%
ORD-103094,2024-01-10,2024-Q1,East,Rachel Lindqvist,Windows & Doors,Sliding Patio Door,General Contractor,Large,74,361.32,0.1119,26737.68,Lost,320.89,0.0,238.47,0.0,0.0,10-15%
ORD-104791,2024-01-10,2024-Q1,West,Cole Sanderson,Windows & Doors,Fiberglass Entry Door,General Contractor,Medium,18,315.83,0.0403,5684.94,Won,303.11,5455.98,208.45,3752.1,1703.88,0-5%
ORD-104843,2024-01-10,2024-Q1,West,Julia Reyes,Concrete & Masonry,Brick Modular (pallet),Retailer,Medium,361,23.1,0.0497,8339.1,Lost,21.95,0.0,18.02,0.0,0.0,0-5%
ORD-100083,2024-01-10,2024-Q1,North,Priya Nadella,Flooring,Laminate 12mm,Homebuilder,Large,1181,43.47,0.0054,51338.07,Won,43.23,51054.63,29.56,34910.36,16144.27,0-5%
ORD-104849,2024-01-11,2024-Q1,West,Maya Iyer,Hardware & Fasteners,"Framing Nails 3.5"" (5000ct)",Government/Municipal,Medium,1570,3.35,0.0392,5259.5,Lost,3.22,0.0,2.81,0.0,0.0,0-5%
ORD-106313,2024-01-11,2024-Q1,Central,DerekSullivan,Windows & Doors,Sliding Patio Door,General Contractor,Medium,35,315.17,0.0862,11030.95,Won,288.0,10080.0,208.01,7280.35,2799.65,5-10%
ORD-101836,2024-01-11,2024-Q1,South,Wade Hutchins,Windows & Doors,Fiberglass Entry Door,Government/Municipal,Large,291,303.77,0.1824,88397.07,Lost,248.37,0.0,200.49,0.0,0.0,15-20%
ORD-106464,2024-01-11,2024-Q1,Central,Leo Castellano,Roofing,Standing Seam Metal Panel,General Contractor,Medium,196,91.48,0.0975,17930.08,Won,82.56,16181.76,64.04,12551.84,3629.92,5-10%
ORD-104695,2024-01-11,2024-Q1,West,Julia Reyes,Drywall,"Cement Board 1/2""",General Contractor,Medium,549,12.52,0.0676,6873.48,Won,11.67,6406.83,10.27,5638.23,768.6,5-10%
ORD-104802,2024-01-11,2024-Q1,West,Cole Sanderson,Concrete & Masonry,Concrete Block 8x8x16,Government/Municipal,Medium,933,20.63,0.0477,19247.79,Won,19.65,18333.45,16.09,15011.97,3321.48,0-5%
ORD-103071,2024-01-11,2024-Q1,East,Sofia Marchetti,Flooring,Engineered Hardwood Oak,Retailer,Medium,618,35.11,0.1084,21697.98,Won,31.3,19343.4,23.87,14751.66,4591.74,10-15%
ORD-104778,2024-01-12,2024-Q1,West,Brett Okafor,Windows & Doors,Commercial Storefront Unit,Government/Municipal,Medium,79,279.23,0.0704,22059.17,Won,259.57,20506.03,184.29,14558.91,5947.12,5-10%
ORD-103048,2024-01-12,2024-Q1,East,Rachel Lindqvist,Hardware & Fasteners,"Structural Screws 6""",Retailer,Small,807,3.12,0.0657,2517.84,Lost,2.92,0.0,2.62,0.0,0.0,5-10%
ORD-103041,2024-01-12,2024-Q1,East,Sofia Marchetti,Lumber,2x6 Pressure-Treated 12ft,DIY/Individual,Small,196,6.24,0.0,1223.04,Lost,6.24,0.0,5.37,0.0,0.0,0-5%
ORD-104724,2024-01-12,2024-Q1,West,Julia Reyes,Flooring,LVP Waterproof (sqft),DIY/Individual,Medium,155,44.46,0.0851,6891.3,Won,40.68,6305.4,30.23,4685.65,1619.75,5-10%
ORD-100111,2024-01-12,2024-Q1,North,Tom Becker,Lumber,LVL Beam 1.75x11.875,Homebuilder,Medium,1614,6.43,0.0553,10378.02,Lost,6.07,0.0,5.53,0.0,0.0,5-10%
ORD-100110,2024-01-12,2024-Q1,North,Dana Whitfield,Hardware & Fasteners,"Anchor Bolts 5/8""",General Contractor,Small,1365,2.74,0.0669,3740.1,Won,2.56,3494.4,2.3,3139.5,354.9,5-10%
ORD-101831,2024-01-12,2024-Q1,South,Wade Hutchins,Hardware & Fasteners,"Anchor Bolts 5/8""",General Contractor,Small,1276,3.41,0.119,4351.16,Won,3.0,3828.0,2.86,3649.36,178.64,10-15%
ORD-103148,2024-01-12,2024-Q1,East,Devon Park,Flooring,Carpet Tile Commercial,Homebuilder,Large,1096,44.42,0.0263,48684.32,Won,43.25,47402.0,30.21,33110.16,14291.84,0-5%
ORD-103113,2024-01-12,2024-Q1,East,Sofia Marchetti,Concrete & Masonry,Rebar #4 20ft,Homebuilder,Small,240,20.45,0.0399,4908.0,Lost,19.63,0.0,15.95,0.0,0.0,0-5%
ORD-106447,2024-01-12,2024-Q1,Central,DerekSullivan,Windows & Doors,Commercial Storefront Unit,General Contractor,Large,263,346.3,0.1082,91076.9,Lost,308.83,0.0,228.56,0.0,0.0,10-15%
ORD-104733,2024-01-12,2024-Q1,West,Sam Kowalski,Lumber,2x4 SPF Stud 8ft,General Contractor,Medium,1511,5.75,0.0274,8688.25,Lost,5.59,0.0,4.95,0.0,0.0,0-5%
ORD-101861,2024-01-12,2024-Q1,South,Wade Hutchins,Lumber,2x6 Pressure-Treated 12ft,Retailer,Medium,1077,5.1,0.1446,5492.7,Won,4.36,4695.72,4.39,4728.03,-32.31,10-15%
ORD-106340,2024-01-12,2024-Q1,Central,Owen Fletcher,Flooring,Engineered Hardwood Oak,Homebuilder,Large,1050,36.46,0.0694,38283.0,Lost,33.93,0.0,24.79,0.0,0.0,5-10%
ORD-101846,2024-01-12,2024-Q1,South,Travis Buford,Hardware & Fasteners,"Structural Screws 6""",General Contractor,Small,764,3.45,0.2031,2635.8,Won,2.75,2101.0,2.9,2215.6,-114.6,20-25%
ORD-103164,2024-01-12,2024-Q1,East,Devon Park,Flooring,Laminate 12mm,Retailer,Small,62,42.39,0.0855,2628.18,Won,38.77,2403.74,28.83,1787.46,616.28,5-10%
ORD-106349,2024-01-13,2024-Q1,Central,Hannah Voss,Hardware & Fasteners,"Structural Screws 6""",Retailer,Small,350,2.91,0.0483,1018.5,Won,2.77,969.5,2.44,854.0,115.5,0-5%
ORD-103202,2024-01-13,2024-Q1,East,Sofia Marchetti,Concrete & Masonry,Portland Cement 94lb,Government/Municipal,Large,1594,22.29,0.0377,35530.26,Won,21.45,34191.3,17.39,27719.66,6471.64,0-5%
ORD-100153,2024-01-13,2024-Q1,North,Dana Whitfield,Flooring,Laminate 12mm,Homebuilder,Large,756,44.17,0.0072,33392.52,Won,43.85,33150.6,30.04,22710.24,10440.36,0-5%
ORD-101712,2024-01-13,2024-Q1,South,Sharon Dell,Lumber,"Plywood CDX 3/4""",General Contractor,Medium,1696,6.0,0.2299,10176.0,Won,4.62,7835.52,5.16,8751.36,-915.84,20-25%
ORD-104742,2024-01-13,2024-Q1,West,Sam Kowalski,Flooring,Laminate 12mm,General Contractor,Large,872,43.86,0.0733,38245.92,Lost,40.65,0.0,29.82,0.0,0.0,5-10%
ORD-103152,2024-01-13,2024-Q1,East,Nina Abrams,Drywall,"Cement Board 1/2""",Homebuilder,Medium,1021,14.1,0.0442,14396.1,Won,13.48,13763.08,11.56,11802.76,1960.32,0-5%
ORD-100169,2024-01-13,2024-Q1,North,Priya Nadella,Roofing,Underlayment Synthetic,General Contractor,Large,449,99.81,0.0547,44814.69,Won,94.35,42363.15,69.87,31371.63,10991.52,5-10%
ORD-103049,2024-01-13,2024-Q1,East,Nina Abrams,Flooring,Engineered Hardwood Oak,Retailer,Large,642,41.6,0.0038,26707.2,Lost,41.44,0.0,28.29,0.0,0.0,0-5%
ORD-103058,2024-01-13,2024-Q1,East,Sofia Marchetti,Insulation,Mineral Wool R-23,DIY/Individual,Small,109,29.54,0.0,3219.86,Won,29.54,3219.86,22.45,2447.05,772.81,0-5%
ORD-101798,2024-01-13,2024-Q1,South,Sharon Dell,Hardware & Fasteners,"Framing Nails 3.5"" (5000ct)",Retailer,Small,1185,2.61,0.1424,3092.85,Lost,2.24,0.0,2.19,0.0,0.0,10-15%
ORD-106435,2024-01-13,2024-Q1,Central,DerekSullivan,Windows & Doors,Sliding Patio Door,General Contractor,Medium,32,282.38,0.181,9036.16,Won,231.26,7400.32,186.37,5963.84,1436.48,15-20%
ORD-106368,2024-01-14,2024-Q1,Central,Hannah Voss,Flooring,Engineered Hardwood Oak,DIY/Individual,Small,62,46.73,0.046,2897.26,Lost,44.58,0.0,31.78,0.0,0.0,0-5%
ORD-101773,2024-01-14,2024-Q1,South,Sharon Dell,Insulation,Blown-In Cellulose,Retailer,Medium,658,27.1,0.073,17831.8,Won,25.12,16528.96,20.6,13554.8,2974.16,5-10%
ORD-106346,2024-01-14,2024-Q1,Central,Hannah Voss,Concrete & Masonry,Portland Cement 94lb,Retailer,Medium,899,20.02,0.0323,17997.98,Won,19.37,17413.63,15.62,14042.38,3371.25,0-5%
ORD-103051,2024-01-14,2024-Q1,East,Andre Coleman,Roofing,Ridge Vent 4ft,General Contractor,Large,317,101.23,0.0595,32089.91,Won,95.21,30181.57,70.86,22462.62,7718.95,5-10%
ORD-101805,2024-01-14,2024-Q1,South,Wade Hutchins,Concrete & Masonry,Brick Modular (pallet),General Contractor,Large,1417,22.4,0.0578,31740.8,Lost,21.11,0.0,17.47,0.0,0.0,5-10%
ORD-104712,2024-01-14,2024-Q1,West,Maya Iyer,Hardware & Fasteners,"Anchor Bolts 5/8""",DIY/Individual,Small,331,2.7,0.0915,893.7,Won,2.45,810.95,2.27,751.37,59.58,5-10%
